video,window_id,window_start_sec,window_end_sec,mean_speed,max_speed,speed_std,mean_acceleration,max_acceleration,min_pair_distance,mean_pair_distance,max_iou,mean_iou,max_approach_rate,mean_approach_rate,max_approach_acceleration,mean_approach_acceleration,max_direction_change,mean_direction_change,max_speed_drop,mean_speed_drop,max_vehicle_count,mean_vehicle_count,label,oof_probability,oof_prediction_050,oof_prediction_035,oof_prediction_030
accident01.mp4,0,0.0,1.0,0.4368597694695022,3.0,0.2896498070157841,0.4144745223305381,2.23606797749979,0.0,548.4553267075554,0.969351589679718,0.0164457549806684,2.716504271459584,-0.0668399598079291,3.603252015678521,0.006872303553175,180.0,45.9637542647565,2.23606797749979,0.2217339231599355,8,6.566666666666666,0,0.4749910807621873,0,1,1
accident01.mp4,1,0.5,1.5,0.3217270722316743,2.0,0.1917046030133034,0.3622475555393591,2.23606797749979,1.0,226.1020358472776,0.969351589679718,0.0102229434996843,2.716504271459584,-0.0529173123715671,2.49605622567411,-0.0232964025593068,180.0,26.5,2.23606797749979,0.1881027515558164,8,6.5,0,0.6875866362845343,1,1,1
accident01.mp4,2,1.0,2.0,0.3468210514373427,3.0,0.2333256111813455,0.3586632361855967,3.0,43.04648650006177,231.11418765882408,0.0296540819108486,0.0014175464166328,3.1200559153050165,0.0336342673272788,2.722450698383099,-0.0051404361592784,180.0,28.6355017059026,3.0,0.1717697218356184,8,6.133333333333334,0,0.712831823924745,1,1,1
accident01.mp4,3,1.5,2.5,0.4475587271189539,3.0,0.2840469297559093,0.4774728829076544,3.0,43.10452412450461,246.31943840188947,0.0275347586721181,0.0006149038672447,3.1200559153050165,0.1777206953048909,2.722450698383099,0.0463099294673857,180.0,47.2137542647565,3.0,0.2286583915900029,8,5.666666666666667,0,0.5805930062228871,1,1,1
accident01.mp4,4,2.0,3.0,0.5803664660633053,2.23606797749979,0.2956809472289761,0.5486718451268727,2.23606797749979,43.18564576337837,266.6384576429313,0.0275347586721181,4.3705967982532457e-05,2.957173525927317,0.4391000152319835,2.6411887451286304,0.0299584544398048,135.0,37.5420068236104,2.23606797749979,0.2640978273253411,7,4.433333333333334,0,0.4456288536365332,0,1,1
accident01.mp4,5,2.5,3.5,0.7361646248193703,3.0,0.3032199762659994,0.6048621984048151,3.0,7.071067811865476,263.07277901257044,0.6610732674598694,0.0035366292577236,3.908155134656084,0.6251024961970034,3.908155134656084,0.0203636141613308,90.0,21.713754264756503,2.23606797749979,0.297860031390542,6,4.3,0,0.27440377723123227,0,0,0
accident01.mp4,6,3.0,4.0,0.8670031097801075,3.1622776601683795,0.3217440210839254,0.5817264864022538,3.0,7.071067811865476,252.85425526249435,0.6610732674598694,0.0041298856958746,4.114309868331276,0.7002804510776137,4.0664044009532745,0.0084226016468253,180.0,27.77416382349567,3.0,0.2854046651356491,6,4.966666666666667,1,0.4791111330587649,0,1,1
accident01.mp4,7,3.5,4.5,1.2429262966213055,12.806248474865695,0.7100465513704436,0.6762484459693355,7.988226701645779,1.0,242.5159075576644,0.9892852902412416,0.0026399448979645,15.36960379352618,0.9900311304216458,8.589060857942684,0.0235864659425069,180.0,28.7855233164574,7.188111704669532,0.3153208499985481,8,6.0,1,0.35566783047813255,0,1,1
accident01.mp4,8,4.0,5.0,1.116281904426056,12.806248474865695,0.7776014306251062,0.66795950701228,7.988226701645779,1.0,234.81098357803072,0.9892852902412416,0.0039335559122264,15.36960379352618,0.7692563049351923,8.589060857942684,0.0213251807096466,180.0,31.558652757702017,7.188111704669532,0.3197001848140723,8,6.366666666666666,1,0.36861755964184534,0,1,1
accident01.mp4,9,4.5,5.5,0.7103805029548416,6.082762530298219,0.3431440763151786,0.5600690650751314,5.082762530298219,2.23606797749979,225.25831340676064,0.6786849498748779,0.0038765536155551,5.801789156205857,0.1788311229789677,8.060142883970286,-0.0469305239404357,180.0,57.38762773534202,4.082762530298219,0.3047980811670615,9,6.7,1,0.18734252050377323,0,0,0
accident01.mp4,10,5.0,6.0,0.589175380023376,6.082762530298219,0.3409872565466964,0.5062302828269362,5.082762530298219,2.23606797749979,213.0115922191352,0.6786849498748779,0.0038068746216595,5.801789156205857,0.0880930687673857,8.060142883970286,-0.0606593508671041,180.0,65.42174742102246,4.082762530298219,0.276368153957903,9,7.4,1,0.4456737858571175,0,1,1
accident01.mp4,11,5.5,6.5,0.3350037860202342,5.0990195135927845,0.2356189956179306,0.3544610616465036,2.23606797749979,3.605551275463989,220.77426767357508,0.6117008924484253,0.0029008775018155,5.09491845480548,0.0356281756619555,5.089600971086952,-0.0275257853913706,180.0,41.83141295042073,2.23606797749979,0.188306293356812,9,6.766666666666667,0,0.5696531939009158,1,1,1
accident01.mp4,12,6.0,7.0,0.2302718682793187,2.0,0.1497395696849192,0.2684596187308737,2.0,38.07886552931954,231.4299250901253,0.0296746883541345,0.0022213908378034,1.9909678091134424,-0.0680745308808278,1.9985304149754484,0.0009599377945988,180.0,26.25,1.4142135623730951,0.1327909250547296,8,5.866666666666666,0,0.5623650421741977,1,1,1
accident01.mp4,13,6.5,7.5,0.216553791842136,2.0,0.1285631193226209,0.22620282177951,2.0,38.07886552931954,226.659950499874,0.0302875488996505,0.0020299358293414,1.9470248404795143,-0.1113809269037811,2.9964625233430127,0.0119468404227169,180.0,37.5,1.0,0.116633156921501,7,6.0,0,0.5528687661791158,1,1,1
accident01.mp4,14,7.0,8.0,0.166948681793117,2.0,0.1329531236306994,0.1882177213750402,1.4142135623730951,39.0,217.8338895198252,0.0302875488996505,0.0015576030127704,1.9454488132961103,-0.1005057476942895,2.9964625233430127,-0.0037263399899087,180.0,33.0,1.4142135623730951,0.1002256121011602,7,6.633333333333334,0,0.6110546086521993,1,1,1
accident01.mp4,15,7.5,8.5,0.1486947135391486,1.4142135623730951,0.1167746322908698,0.1739320070893259,1.4142135623730951,45.22167621838005,201.46782681656487,0.0279662255197763,0.0007064555538818,1.9767351364683563,-0.1079031199488313,1.9780062455902796,0.0014876769949892,90.0,10.5,1.4142135623730951,0.0803843422598903,7,6.5,0,0.5450779924883734,1,1,1
accident01.mp4,16,8.0,9.0,0.1634912618041455,1.4142135623730951,0.1387861655889551,0.2236491902749576,1.4142135623730951,43.93176527297759,191.62770758561504,0.0258842781186103,4.108615758013912e-05,1.9767351364683563,-0.0701647737378465,2.957116502336973,0.0065236974005504,180.0,12.0,1.4142135623730951,0.1146023729152566,7,5.8,0,0.6120231739230936,1,1,1
accident01.mp4,17,8.5,9.5,0.2075695846892172,1.4142135623730951,0.1794322145981945,0.3035279380141355,1.4142135623730951,35.73513677041127,202.77253635685528,0.0269511006772518,9.998727182392032e-05,1.958452156396561,-0.0311418403913453,2.957116502336973,0.0100967344031131,180.0,15.75,1.4142135623730951,0.1561410132606457,7,5.766666666666667,0,0.6175090519865765,1,1,1
accident01.mp4,18,9.0,10.0,0.2752450353335549,2.0,0.1856104199127893,0.3581077497192761,2.0,29.546573405388315,200.56119728153288,0.0269511006772518,0.0001288684870814,1.994982472503409,-0.0728893732189934,2.162964508352786,0.0053724403883659,180.0,19.5,2.0,0.1766961679722423,7,6.266666666666667,0,0.5981674484907923,1,1,1
accident01.mp4,19,9.5,10.5,0.291214710136662,2.23606797749979,0.181258733132076,0.33603341388936,2.0,22.47220505424423,202.643919262749,0.0330295749008655,0.0004884769441559,2.2327772257286824,-0.0358114400316781,2.858309132942736,-0.0097449280933362,180.0,34.3282525588539,2.0,0.170471656030768,7,6.366666666666666,0,0.590004806938155,1,1,1
accident01.mp4,20,10.0,11.0,0.2523491841458071,4.0,0.2144587678160547,0.3168512292689628,4.0,21.633307652783937,224.7330782529912,0.0330295749008655,0.000494577572681,3.913020331182338,0.0856756904223095,3.913020331182338,0.0090885436173254,180.0,33.5782525588539,4.0,0.1531708704170987,7,5.466666666666667,0,0.5991420696138802,1,1,1
accident01.mp4,21,10.5,11.5,0.2616176045807952,4.0,0.2292322946157697,0.3643626743013254,4.0,21.633307652783937,225.6436617621169,0.0220385231077671,3.498178193694912e-05,3.913020331182338,0.0933391249869436,3.913020331182338,0.0121289904122783,180.0,36.0,4.0,0.1827287156919063,7,4.866666666666666,0,0.6032186977287931,1,1,1
accident02.mp4,0,0.0,1.0,0.4315685424949238,3.0,0.2876848994830793,0.584780623567435,3.0,37.01351104664349,184.43848714765488,0.0,0.0,2.9961563226666925,0.3015389423036114,3.994939037212703,-0.0180474888740262,180.0,44.25,1.5857864376269049,0.3009340227039622,5,4.2,0,0.3237658331366172,0,0,1
accident02.mp4,1,0.5,1.5,0.4219334615224195,3.0,0.2833821339264305,0.5341624578050972,3.0,33.13608305156178,203.1088361362644,0.0,0.0,2.9961563226666925,0.1741655022333383,3.994939037212703,-0.041396932867648,180.0,54.0,1.5857864376269049,0.2717360509339043,6,4.566666666666666,0,0.4911181137987426,0,1,1
accident02.mp4,2,1.0,2.0,0.8006819410576764,9.486832980505138,0.4855264726610777,0.5585917465259356,2.7082039324993694,3.0,207.77164444715672,0.7169216871261597,0.0084391022101044,9.483963664816995,0.6899526010903079,4.134704271464329,-0.0543567000087505,180.0,45.85790358806141,2.23606797749979,0.2792520797712854,7,5.433333333333334,0,0.6361961800030209,1,1,1
accident02.mp4,3,1.5,2.5,1.4930217955572849,14.7648230602334,0.9067061074050018,0.7034254654913675,7.278028848742171,2.23606797749979,195.0187510325017,0.848436176776886,0.0131562100723385,14.993458349916352,1.8409554276745856,7.691364622142515,0.0250020008660064,180.0,34.49530024912014,7.278028848742171,0.3316001153976337,7,5.866666666666666,0,0.44053296681088244,0,1,1
accident02.mp4,4,2.0,3.0,1.8428566891760112,14.7648230602334,0.8750959634305759,0.7541559411457595,7.278028848742171,2.23606797749979,199.55696386562155,0.848436176776886,0.0077671585604548,14.993458349916352,1.8767169804797608,7.691364622142515,0.0197599241729689,180.0,28.49723716811909,7.278028848742171,0.3625688182748599,6,4.933333333333334,0,0.4529213494061588,0,1,1
accident02.mp4,5,2.5,3.5,1.7502478203353278,7.615773105863909,0.5292874307087299,0.7704654341691065,4.324555320336759,35.0142828000232,213.6811254583252,0.0702813491225242,0.00500372890383,7.474227049496704,1.2172194493777355,3.098035963900884,-0.0855352758435643,180.0,31.90637498298186,4.324555320336759,0.3858220937309899,7,4.7,0,0.27879388219661794,0,0,0
accident02.mp4,6,3.0,4.0,2.037275663318783,6.324555320336759,0.662861500917548,0.7403535460569828,4.324555320336759,46.86149805543992,556.2931214761533,0.0702813491225242,0.0020834720654723,7.16551010292909,2.101300478732365,3.098035963900884,-0.223287394354168,180.0,27.56067861318167,4.324555320336759,0.3706616438407877,7,4.166666666666667,0,0.24171256974263036,0,0,0
accident02.mp4,7,3.5,4.5,2.4577211998194164,8.246211251235321,0.6294437622425787,0.7202294217383963,3.594883917345511,53.25410782277739,596.7698577556122,0.0233629923313856,0.000129794399254,8.125981005496953,2.9501481351774186,3.497549994741746,-0.0009572632867339,180.0,22.04925995702156,3.594883917345511,0.3620267205780907,5,3.4,0,0.15722088620730182,0,0,0
accident02.mp4,8,4.0,5.0,2.61076226832517,8.246211251235321,0.6501146753342529,0.7557643908397395,6.585786437626905,52.392747589718944,249.96548066547203,0.0,0.0,13.099668463402908,2.897798833654901,8.109759018378213,0.0634097812001115,180.0,22.34281347915369,3.594883917345511,0.3614308894081071,6,4.133333333333334,0,0.20708788237945258,0,0,0
accident02.mp4,9,4.5,5.5,2.010316433072852,8.0,0.8683694312431408,0.5880985849680523,6.585786437626905,41.340053217188775,204.83764901920205,0.1343625485897064,0.0006817794637754,13.099668463402908,2.1209950336761425,8.109759018378213,-0.1532406126028904,168.6900675259798,16.52695537139983,3.492667480246248,0.3003442078114576,7,4.8,1,0.430906045023327,0,1,1
accident02.mp4,10,5.0,6.0,1.1866658824401006,4.47213595499958,0.3106094599765996,0.4439715610718156,1.6055512754639891,0.0,204.2769137608701,0.9710394740104676,0.0058959191665053,4.188610221304657,1.100801896263793,2.13422419430168,-0.0534425330201382,135.0,21.2990590091204,1.6055512754639891,0.2413509604518745,7,5.233333333333333,1,0.5002415537160597,1,1,1
