video,window_id,window_start_sec,window_end_sec,label,mean_speed,max_speed,speed_std,mean_acceleration,max_acceleration,max_speed_drop,mean_speed_drop,min_pair_distance,mean_pair_distance,max_iou,mean_iou,max_approach_rate,mean_approach_rate,max_approach_acceleration,mean_approach_acceleration,max_direction_change,mean_direction_change,max_vehicle_count,mean_vehicle_count
accident01.mp4,0,0.0,1.0,0,0.4110711337524509,3.363030366806447,0.2300354288692315,0.2636422535795375,1.7507939282813072,1.6209554464447722,0.14531432893739774,0.18412191682362283,548.5628909666742,0.969351589679718,0.016445754980668425,2.195797962995357,-0.06036085759083663,2.4420508023624734,0.0009268506410145908,179.91460671508736,50.528887085772226,8,6.566666666666666
accident01.mp4,1,0.5,1.5,0,0.33915929022577934,1.9221995770642932,0.1329692724454821,0.20774661099529848,1.499077912562166,1.2231018496490964,0.11044753844812992,1.392942030017787,226.23164028129491,0.969351589679718,0.010222943499684334,2.051683130647234,-0.04769389137706325,2.1715259089337735,-0.007591653765756993,179.91460671508736,61.2850734948827,8,6.5
accident01.mp4,2,1.0,2.0,0,0.33088876361683844,2.1689340950969083,0.1346428782377675,0.19620092639510786,1.9473618228106053,1.9473618228106053,0.10054668583759298,42.904389668530314,231.17039018302285,0.029654081910848618,0.001417546416632831,2.3032906823041515,0.05482071503922318,2.2211311764073685,-0.0007332794543363923,179.4488664308289,55.94384348529549,8,6.133333333333334
accident01.mp4,3,1.5,2.5,0,0.39315070789488143,2.1689340950969083,0.21087732177545498,0.2475470400531221,1.9473618228106053,1.9473618228106053,0.11627320538624732,43.10074774832056,246.3546440012636,0.027534758672118187,0.0006149038672447205,2.90679640371593,0.17767714060360135,2.2211311764073685,0.02974997997321124,179.4488664308289,46.279981616781775,8,5.666666666666667
accident01.mp4,4,2.0,3.0,0,0.506269353960702,2.1476145476363384,0.22957384186322338,0.275744165263465,1.2898558755847271,1.2898558755847271,0.13479753595553107,43.38919671527046,266.70769078423825,0.027534758672118187,4.3705967982532457e-05,2.90679640371593,0.4222582871961157,1.7759572457528634,0.00796932490244827,178.61856503497086,38.47518314598252,7,4.433333333333334
accident01.mp4,5,2.5,3.5,0,0.6671487084772733,2.628176779608037,0.22621545600119342,0.3113508607405369,1.91549215413021,1.5214476830958625,0.1542520899214617,6.619589009175821,263.1305738045578,0.6610732674598694,0.003536629257723689,3.603028942273397,0.630100115972675,2.2323887471089847,0.009538463063188406,173.40719781950455,33.20349660681672,6,4.3
accident01.mp4,6,3.0,4.0,1,0.8329695190609929,3.1638886083470252,0.2900264715159529,0.41814833154474246,1.9465662187231538,1.9465662187231538,0.20227842761498585,6.619589009175821,252.91300346158832,0.6610732674598694,0.004129885695874691,3.853095550286298,0.7007332043491263,2.351287881562655,0.023158045092144638,173.40719781950455,38.12728174408093,6,4.966666666666667
accident01.mp4,7,3.5,4.5,1,1.2160406530777637,12.85391578798077,0.7025971032986679,0.5642780293194466,8.526925002533883,6.15984328589089,0.2645254526040191,0.844190452218092,242.55761197175102,0.9892852902412415,0.0026399448979645967,15.392442916327695,0.9682850063366004,8.837837650341683,0.02800826547665449,167.71601051337504,38.6143000823188,8,6.0
accident01.mp4,8,4.0,5.0,1,1.0805761529249618,12.85391578798077,0.7745925609811029,0.5079466012095528,8.526925002533883,6.15984328589089,0.24713460351505784,0.844190452218092,234.80048110973345,0.9892852902412415,0.0039335559122264385,15.392442916327695,0.7387188924893925,8.837837650341683,0.020464975045830273,176.40002901080308,40.11980675378137,8,6.366666666666666
accident01.mp4,9,4.5,5.5,1,0.662168773762319,5.454442918151956,0.2980064418275759,0.40146357893271173,3.8873964696980874,3.569123249967647,0.22324630394059153,2.823472854569844,225.19459630700692,0.6786849498748779,0.003876553615555167,5.0430692366304015,0.1643522885850686,7.452702422423329,-0.03050492187859697,176.40002901080308,49.52513345827307,9,6.7
accident01.mp4,10,5.0,6.0,1,0.5455018737036258,5.454442918151956,0.2908252105957169,0.31813017700078944,3.8873964696980874,3.569123249967647,0.16833495373204516,2.823472854569844,212.96038822431254,0.6786849498748779,0.0038068746216595173,6.0157818071988345,0.08409720398509823,7.452702422423329,-0.033409415175225526,176.66688709881973,58.674666831131844,9,7.4
accident01.mp4,11,5.5,6.5,0,0.316767170711314,5.241936760824919,0.2113038402267278,0.1737691665117255,1.46237269028585,1.46237269028585,0.08949742368247647,3.2430494383038395,220.78167028857797,0.6117008924484253,0.0029008775018155575,6.0157818071988345,0.014021772911314826,4.641157905628717,-0.014754423710997158,178.05154373756193,53.86469433799561,9,6.766666666666667
accident01.mp4,12,6.0,7.0,0,0.2180084428871464,2.1591025529267966,0.12144923791268844,0.12270654978403679,1.9244256890789133,0.7860960482898118,0.0571601224533879,38.248084388296895,231.48593340682842,0.02967468835413456,0.002221390837803483,1.8347464506600772,-0.07738121636532196,1.8777302914462268,0.0011101138539712095,178.05154373756193,55.48122937653602,8,5.866666666666666
accident01.mp4,13,6.5,7.5,0,0.19822175783131307,2.1591025529267966,0.10990593907175951,0.10558332931064392,1.9244256890789133,0.8915481395886682,0.055452285960118065,38.248084388296895,226.76790132537346,0.030287548899650574,0.0020299358293414116,1.9258819731080052,-0.110063738394731,3.1512697090226425,0.006498963573654632,176.9572484799558,63.39527051588439,7,6.0
accident01.mp4,14,7.0,8.0,0,0.1674785022088187,2.0364758191738614,0.08667801243313764,0.09190384105987137,0.8915481395886682,0.8915481395886682,0.05171813458398335,39.296921680105996,217.9847108678129,0.030287548899650574,0.0015576030127704144,1.9258819731080052,-0.10087601660839683,3.1512697090226425,-0.0053185748459113,179.79726974453862,65.97939309924716,7,6.633333333333334
accident01.mp4,15,7.5,8.5,0,0.15485078135857222,1.1063501737413006,0.05026536608396881,0.08354782570710609,0.8222524387878849,0.8222524387878849,0.04007968628993262,45.506569118311866,201.6151568925396,0.027966225519776344,0.000706455553881824,1.059381956293933,-0.11673887261604028,0.8307839418318395,-0.005840182585856529,179.79726974453862,58.42600105359536,7,6.5
accident01.mp4,16,8.0,9.0,0,0.14468949131546557,1.0280022425002289,0.05390175623942525,0.07588717923148208,0.8222524387878849,0.8222524387878849,0.0372680486615296,44.73764845951408,191.74558196058015,0.025884278118610382,4.1086157580139115e-05,0.955063178516049,-0.08017830733510126,0.8307839418318395,0.004451512578513706,176.58783637765706,50.67340956434847,7,5.8
accident01.mp4,17,8.5,9.5,0,0.188581938981474,1.750006870768914,0.11229693177129087,0.10967760666416068,1.5920229747223003,1.0570806256793277,0.05223737795763574,35.074667870780075,202.89073867890437,0.026951100677251816,9.998727182392031e-05,2.1713404713522664,-0.025448597088908172,1.9345365716983167,0.017750899190334932,179.3010336407063,52.01917130857589,7,5.766666666666667
accident01.mp4,18,9.0,10.0,0,0.26936544194206397,1.750006870768914,0.10477427268275624,0.16421889989422042,1.5920229747223003,1.0570806256793277,0.07874882454949317,29.143656173336602,200.63839772723685,0.026951100677251816,0.00012886848708149046,2.1713404713522664,-0.07063422063454333,1.9345365716983167,-0.00848469600156856,179.3010336407063,49.36203234996774,7,6.266666666666667
accident01.mp4,19,9.5,10.5,0,0.27188490660463466,1.9775068572447831,0.10153185117291696,0.17538827446523203,1.1223187466375302,0.9913263721237211,0.0908065413259548,22.72661665298992,202.638656905467,0.033029574900865555,0.0004884769441559911,2.0121214151647564,-0.021543599564698937,1.6570137716679127,-0.008473291866160177,179.25501165524372,47.65813641330649,7,6.366666666666666
accident01.mp4,20,10.0,11.0,0,0.2369577341106391,3.4544103729820974,0.13846909894468193,0.18527525989752539,2.953970673736326,2.953970673736326,0.09210052729774885,21.99035137324897,224.74536636416798,0.033029574900865555,0.0004945775726810098,3.338682053181884,0.10721873852523181,2.751576334375642,0.020601885045475943,179.25501165524372,56.78129247067493,7,5.466666666666667
