video,window_id,window_start_sec,window_end_sec,mean_speed,max_speed,speed_std,mean_acceleration,max_acceleration,min_pair_distance,mean_pair_distance,max_iou,mean_iou,max_approach_rate,mean_approach_rate,max_approach_acceleration,mean_approach_acceleration,max_direction_change,mean_direction_change,max_speed_drop,mean_speed_drop,max_vehicle_count,mean_vehicle_count,label,probability
accident01.mp4,0,0.0,1.0,0.4110711337524509,3.363030366806447,0.2300354288692315,0.2636422535795375,1.7507939282813072,0.1841219168236228,548.5628909666742,0.969351589679718,0.0164457549806684,2.195797962995357,-0.0603608575908366,2.4420508023624734,0.0009268506410145,179.91460671508736,50.52888708577223,1.6209554464447722,0.1453143289373977,8.0,6.566666666666666,0,0.6406807273539635
accident01.mp4,1,0.5,1.5,0.3391592902257793,1.9221995770642928,0.1329692724454821,0.2077466109952984,1.499077912562166,1.392942030017787,226.2316402812949,0.969351589679718,0.0102229434996843,2.051683130647234,-0.0476938913770632,2.171525908933773,-0.0075916537657569,179.91460671508736,61.2850734948827,1.2231018496490964,0.1104475384481299,8.0,6.5,0,0.5342653105412688
accident01.mp4,2,1.0,2.0,0.3308887636168384,2.1689340950969083,0.1346428782377675,0.1962009263951078,1.947361822810605,42.90438966853032,231.17039018302285,0.0296540819108486,0.0014175464166328,2.3032906823041515,0.0548207150392231,2.2211311764073685,-0.0007332794543363,179.4488664308289,55.94384348529549,1.947361822810605,0.1005466858375929,8.0,6.133333333333334,0,0.6443140832922438
accident01.mp4,3,1.5,2.5,0.3931507078948814,2.1689340950969083,0.2108773217754549,0.2475470400531221,1.947361822810605,43.10074774832056,246.3546440012636,0.0275347586721181,0.0006149038672447,2.90679640371593,0.1776771406036013,2.2211311764073685,0.0297499799732112,179.4488664308289,46.279981616781775,1.947361822810605,0.1162732053862473,8.0,5.666666666666667,0,0.7528302248026748
accident01.mp4,4,2.0,3.0,0.506269353960702,2.1476145476363384,0.2295738418632233,0.275744165263465,1.2898558755847271,43.38919671527046,266.70769078423825,0.0275347586721181,4.3705967982532457e-05,2.90679640371593,0.4222582871961157,1.7759572457528634,0.0079693249024482,178.61856503497086,38.47518314598252,1.2898558755847271,0.134797535955531,7.0,4.433333333333334,0,0.8016881520431187
accident01.mp4,5,2.5,3.5,0.6671487084772733,2.628176779608037,0.2262154560011934,0.3113508607405369,1.91549215413021,6.619589009175821,263.1305738045578,0.6610732674598694,0.0035366292577236,3.603028942273397,0.630100115972675,2.2323887471089847,0.0095384630631884,173.40719781950455,33.20349660681672,1.5214476830958623,0.1542520899214617,6.0,4.3,1,0.4326653352375154
accident01.mp4,6,3.0,4.0,0.8329695190609929,3.163888608347025,0.2900264715159529,0.4181483315447424,1.9465662187231536,6.619589009175821,252.91300346158832,0.6610732674598694,0.0041298856958746,3.853095550286298,0.7007332043491263,2.351287881562655,0.0231580450921446,173.40719781950455,38.12728174408093,1.9465662187231536,0.2022784276149858,6.0,4.966666666666667,1,0.5243253702789816
accident01.mp4,7,3.5,4.5,1.2160406530777637,12.85391578798077,0.7025971032986679,0.5642780293194466,8.526925002533883,0.844190452218092,242.55761197175104,0.9892852902412416,0.0026399448979645,15.392442916327695,0.9682850063366004,8.837837650341683,0.0280082654766544,167.71601051337504,38.6143000823188,6.15984328589089,0.2645254526040191,8.0,6.0,1,0.3283557911824374
accident01.mp4,8,4.0,5.0,1.0805761529249618,12.85391578798077,0.7745925609811029,0.5079466012095528,8.526925002533883,0.844190452218092,234.80048110973345,0.9892852902412416,0.0039335559122264,15.392442916327695,0.7387188924893925,8.837837650341683,0.0204649750458302,176.40002901080308,40.11980675378137,6.15984328589089,0.2471346035150578,8.0,6.366666666666666,1,0.375978687581588
accident01.mp4,9,4.5,5.5,0.662168773762319,5.454442918151956,0.2980064418275759,0.4014635789327117,3.887396469698088,2.823472854569844,225.1945963070069,0.6786849498748779,0.0038765536155551,5.0430692366304015,0.1643522885850686,7.452702422423329,-0.0305049218785969,176.40002901080308,49.52513345827307,3.569123249967647,0.2232463039405915,9.0,6.7,1,0.40009350159150286
accident01.mp4,10,5.0,6.0,0.5455018737036258,5.454442918151956,0.2908252105957169,0.3181301770007894,3.887396469698088,2.823472854569844,212.9603882243125,0.6786849498748779,0.0038068746216595,6.0157818071988345,0.0840972039850982,7.452702422423329,-0.0334094151752255,176.66688709881973,58.67466683113184,3.569123249967647,0.1683349537320451,9.0,7.4,1,0.3927311605860507
accident01.mp4,11,5.5,6.5,0.316767170711314,5.241936760824919,0.2113038402267278,0.1737691665117255,1.46237269028585,3.2430494383038395,220.781670288578,0.6117008924484253,0.0029008775018155,6.0157818071988345,0.0140217729113148,4.641157905628717,-0.0147544237109971,178.05154373756193,53.86469433799561,1.46237269028585,0.0894974236824764,9.0,6.766666666666667,1,0.4091347189760191
accident01.mp4,12,6.0,7.0,0.2180084428871464,2.1591025529267966,0.1214492379126884,0.1227065497840367,1.924425689078913,38.248084388296895,231.4859334068284,0.0296746883541345,0.0022213908378034,1.8347464506600768,-0.0773812163653219,1.8777302914462268,0.0011101138539712,178.05154373756193,55.48122937653602,0.7860960482898118,0.0571601224533879,8.0,5.866666666666666,0,0.6369419833833951
accident01.mp4,13,6.5,7.5,0.198221757831313,2.1591025529267966,0.1099059390717595,0.1055833293106439,1.924425689078913,38.248084388296895,226.76790132537343,0.0302875488996505,0.0020299358293414,1.9258819731080048,-0.110063738394731,3.1512697090226425,0.0064989635736546,176.9572484799558,63.39527051588439,0.8915481395886682,0.055452285960118,7.0,6.0,0,0.5460482726546474
accident01.mp4,14,7.0,8.0,0.1674785022088187,2.036475819173861,0.0866780124331376,0.0919038410598713,0.8915481395886682,39.296921680106,217.9847108678129,0.0302875488996505,0.0015576030127704,1.9258819731080048,-0.1008760166083968,3.1512697090226425,-0.0053185748459113,179.79726974453862,65.97939309924716,0.8915481395886682,0.0517181345839833,7.0,6.633333333333334,0,0.5525587859389235
accident01.mp4,15,7.5,8.5,0.1548507813585722,1.1063501737413006,0.0502653660839688,0.083547825707106,0.8222524387878849,45.506569118311866,201.6151568925396,0.0279662255197763,0.0007064555538818,1.059381956293933,-0.1167388726160402,0.8307839418318395,-0.0058401825858565,179.79726974453862,58.42600105359536,0.8222524387878849,0.0400796862899326,7.0,6.5,0,0.6175814494365732
accident01.mp4,16,8.0,9.0,0.1446894913154655,1.0280022425002289,0.0539017562394252,0.075887179231482,0.8222524387878849,44.73764845951408,191.74558196058013,0.0258842781186103,4.108615758013912e-05,0.955063178516049,-0.0801783073351012,0.8307839418318395,0.0044515125785137,176.58783637765706,50.67340956434847,0.8222524387878849,0.0372680486615296,7.0,5.8,0,0.6546916150720822
accident01.mp4,17,8.5,9.5,0.188581938981474,1.750006870768914,0.1122969317712908,0.1096776066641606,1.5920229747223005,35.074667870780075,202.8907386789044,0.0269511006772518,9.998727182392032e-05,2.1713404713522664,-0.0254485970889081,1.9345365716983167,0.0177508991903349,179.3010336407063,52.01917130857589,1.0570806256793277,0.0522373779576357,7.0,5.766666666666667,0,0.5539183583830993
