video,event_id,event_start_sec,event_end_sec,label,event_peak_probability,event_mean_probability,event_probability_std,event_window_count,event_duration,event_probability_rise,event_probability_fall,event_probability_area,event_max_speed,event_mean_speed,event_speed_std,event_max_acceleration,event_max_iou,event_min_distance,event_max_approach_rate,event_max_approach_acceleration,event_max_direction_change,event_max_speed_drop,event_max_vehicle_count,event_mean_vehicle_count
accident01.mp4,0,0.0,11.5,1,0.712831823924745,0.5505893280971421,0.09255754636469375,20,11.5,0.23784074316255777,0.10961312619595187,10.47268167269735,12.806248474865695,0.42488399996678794,0.2668607597016185,7.988226701645779,0.9892852902412416,0.0,15.36960379352618,8.589060857942684,180.0,7.188111704669532,9,6.016666666666667
accident02.mp4,0,0.0,9.0,1,0.6570973930030246,0.47972466112410633,0.11020953008405013,13,9.0,0.3333315598664074,0.06410963954835158,5.778043801317739,14.7648230602334,1.080310544033582,0.4529782807528092,7.278028848742171,0.9981393814086914,0.0,14.993458349916352,10.439414470621202,180.0,7.278028848742171,9,5.487179487179487
accident03.mp4,0,1.5,3.0,0,0.4203117882907189,0.4145081302988687,0.005803657991850258,2,1.5,0.011607315983700517,0.0,0.4145081302988687,4.123105625617661,0.9422920983198092,0.5323238439936184,3.0,0.8218275904655457,0.0,5.319255808616333,4.12094141964576,90.0,3.0,4,2.45
accident04.mp4,0,0.5,3.0,1,0.5250354108338656,0.47626390668406654,0.03720655966112178,4,2.5,0.027161452003805653,0.0735970369274418,1.4303994603680241,6.0,1.092644235364515,0.3836213338675708,4.0990195135927845,0.0687203928828239,79.12016177940993,6.877477698532346,3.160622168629573,180.0,4.0990195135927845,5,4.141666666666667
accident05.mp4,0,0.0,7.5,1,0.5864299059066744,0.404765084769462,0.08390344024499462,9,7.5,0.2184909919000267,0.2788556168411604,3.305129161389077,16.1245154965971,0.9319784337826024,0.4435505892681368,11.881874809477814,0.8905115127563477,0.0,16.1074572878469,17.37906521041242,180.0,10.739350689462594,8,4.5888888888888895
normal01.mp4,0,1.001,4.505,0,0.5632088281518851,0.4112757375447516,0.09873744293435784,6,3.504,0.030698011715304174,0.2133838443397692,2.0264865251441617,13.41640786499874,2.3468159171435024,0.5740971828774675,4.52786404500042,0.9841108918190002,0.0,3.060231759473652,5.686467260350639,180.0,4.52786404500042,9,5.394444444444445
normal01.mp4,1,6.506,7.508,0,0.3135292076591552,0.3135292076591552,0.0,1,1.0019999999999998,0.0,0.0,0.0,12.36931687685298,2.604642263635498,0.5646751772662537,4.985701931546668,0.912461519241333,0.0,1.2712488333116312,5.988155840423929,90.0,4.307059128554432,8,6.3
normal01.mp4,2,9.009,10.01,0,0.389643452043828,0.389643452043828,0.0,1,1.0009999999999994,0.0,0.0,0.0,12.36931687685298,2.198317490190307,1.0332529370113206,3.0025247700991105,0.9592890739440918,0.0,2.3645723516919475,4.232365614953608,180.0,3.0025247700991105,7,5.366666666666666
normal01.mp4,3,12.012,13.013,0,0.3273786997308338,0.3273786997308338,0.0,1,1.0009999999999994,0.0,0.0,0.0,8.0,1.6095756754868704,0.597872432566246,4.83772233983162,0.6345912218093872,4.0,2.81778894077852,3.516526147215636,135.0,3.0,7,5.366666666666666
normal04.mp4,0,16.8,18.0,0,0.3015042362836187,0.3015042362836187,0.0,1,1.1999999999999993,0.0,0.0,0.0,10.816653826391969,0.6446294108596605,0.3571828223988848,10.816653826391969,0.9901365041732788,0.0,9.45349618418527,9.45349618418527,180.0,6.574013139272684,11,9.3
normal05.mp4,0,17.518,18.518,0,0.33573998125657684,0.33573998125657684,0.0,1,1.0,0.0,0.0,0.0,4.0,0.6382093998582922,0.2542739073104649,3.1622776601683795,0.29880291223526,38.3275357934736,1.931981632846828,4.074729505662162,180.0,3.1622776601683795,8,6.6
normal05.mp4,1,24.024,25.526,0,0.4492244510996496,0.38510715105633486,0.0641173000433147,2,1.501999999999999,0.0,0.1282346000866294,0.38510715105633486,9.0,0.9222600971508239,0.3223689590015284,9.0,0.3852041959762573,20.808652046684813,9.4905810306185,16.43747852453533,180.0,2.23606797749979,10,6.55
normal05.mp4,2,32.032,33.033,0,0.3015276636789064,0.3015276636789064,0.0,1,1.0010000000000048,0.0,0.0,0.0,3.1622776601683795,0.799465569678309,0.2632208499356964,2.1622776601683795,0.2610984742641449,31.016124838541646,2.534810528857946,3.0501390131096286,180.0,2.1622776601683795,10,7.733333333333333
