video,window_id,window_start_sec,window_end_sec,label,mean_speed,max_speed,speed_std,mean_acceleration,max_acceleration,min_pair_distance,mean_pair_distance,max_iou,mean_iou,max_approach_rate,mean_approach_rate,max_vehicle_count,mean_vehicle_count
accident01.mp4,0,0.0,1.0,0,0.4110711337524509,3.363030366806447,0.2300354288692315,0.2636422535795375,1.7507939282813072,0.18412191682362283,548.5628909666742,0.969351589679718,0.016445754980668425,2.195797962995357,-0.06036085759083663,8,6.566666666666666
accident01.mp4,1,0.5,1.5,0,0.33915929022577934,1.9221995770642932,0.1329692724454821,0.20774661099529848,1.499077912562166,1.392942030017787,226.23164028129491,0.969351589679718,0.010222943499684334,2.051683130647234,-0.04769389137706325,8,6.5
accident01.mp4,2,1.0,2.0,0,0.33088876361683844,2.1689340950969083,0.1346428782377675,0.19620092639510786,1.9473618228106053,42.904389668530314,231.17039018302285,0.029654081910848618,0.001417546416632831,2.3032906823041515,0.05482071503922318,8,6.133333333333334
accident01.mp4,3,1.5,2.5,0,0.39315070789488143,2.1689340950969083,0.21087732177545498,0.2475470400531221,1.9473618228106053,43.10074774832056,246.3546440012636,0.027534758672118187,0.0006149038672447205,2.90679640371593,0.17767714060360135,8,5.666666666666667
accident01.mp4,4,2.0,3.0,0,0.506269353960702,2.1476145476363384,0.22957384186322338,0.275744165263465,1.2898558755847271,43.38919671527046,266.70769078423825,0.027534758672118187,4.3705967982532457e-05,2.90679640371593,0.4222582871961157,7,4.433333333333334
accident01.mp4,5,2.5,3.5,0,0.6671487084772733,2.628176779608037,0.22621545600119342,0.3113508607405369,1.91549215413021,6.619589009175821,263.1305738045578,0.6610732674598694,0.003536629257723689,3.603028942273397,0.630100115972675,6,4.3
accident01.mp4,6,3.0,4.0,1,0.8329695190609929,3.1638886083470252,0.2900264715159529,0.41814833154474246,1.9465662187231538,6.619589009175821,252.91300346158832,0.6610732674598694,0.004129885695874691,3.853095550286298,0.7007332043491263,6,4.966666666666667
accident01.mp4,7,3.5,4.5,1,1.2160406530777637,12.85391578798077,0.7025971032986679,0.5642780293194466,8.526925002533883,0.844190452218092,242.55761197175102,0.9892852902412415,0.0026399448979645967,15.392442916327695,0.9682850063366004,8,6.0
accident01.mp4,8,4.0,5.0,1,1.0805761529249618,12.85391578798077,0.7745925609811029,0.5079466012095528,8.526925002533883,0.844190452218092,234.80048110973345,0.9892852902412415,0.0039335559122264385,15.392442916327695,0.7387188924893925,8,6.366666666666666
accident01.mp4,9,4.5,5.5,1,0.662168773762319,5.454442918151956,0.2980064418275759,0.40146357893271173,3.8873964696980874,2.823472854569844,225.19459630700692,0.6786849498748779,0.003876553615555167,5.0430692366304015,0.1643522885850686,9,6.7
accident01.mp4,10,5.0,6.0,1,0.5455018737036258,5.454442918151956,0.2908252105957169,0.31813017700078944,3.8873964696980874,2.823472854569844,212.96038822431254,0.6786849498748779,0.0038068746216595173,6.0157818071988345,0.08409720398509823,9,7.4
accident01.mp4,11,5.5,6.5,0,0.316767170711314,5.241936760824919,0.2113038402267278,0.1737691665117255,1.46237269028585,3.2430494383038395,220.78167028857797,0.6117008924484253,0.0029008775018155575,6.0157818071988345,0.014021772911314826,9,6.766666666666667
accident01.mp4,12,6.0,7.0,0,0.2180084428871464,2.1591025529267966,0.12144923791268844,0.12270654978403679,1.9244256890789133,38.248084388296895,231.48593340682842,0.02967468835413456,0.002221390837803483,1.8347464506600772,-0.07738121636532196,8,5.866666666666666
accident01.mp4,13,6.5,7.5,0,0.19822175783131307,2.1591025529267966,0.10990593907175951,0.10558332931064392,1.9244256890789133,38.248084388296895,226.76790132537346,0.030287548899650574,0.0020299358293414116,1.9258819731080052,-0.110063738394731,7,6.0
accident01.mp4,14,7.0,8.0,0,0.1674785022088187,2.0364758191738614,0.08667801243313764,0.09190384105987137,0.8915481395886682,39.296921680105996,217.9847108678129,0.030287548899650574,0.0015576030127704144,1.9258819731080052,-0.10087601660839683,7,6.633333333333334
accident01.mp4,15,7.5,8.5,0,0.15485078135857222,1.1063501737413006,0.05026536608396881,0.08354782570710609,0.8222524387878849,45.506569118311866,201.6151568925396,0.027966225519776344,0.000706455553881824,1.059381956293933,-0.11673887261604028,7,6.5
accident01.mp4,16,8.0,9.0,0,0.14468949131546557,1.0280022425002289,0.05390175623942525,0.07588717923148208,0.8222524387878849,44.73764845951408,191.74558196058015,0.025884278118610382,4.1086157580139115e-05,0.955063178516049,-0.08017830733510126,7,5.8
accident01.mp4,17,8.5,9.5,0,0.188581938981474,1.750006870768914,0.11229693177129087,0.10967760666416068,1.5920229747223003,35.074667870780075,202.89073867890437,0.026951100677251816,9.998727182392031e-05,2.1713404713522664,-0.025448597088908172,7,5.766666666666667
accident01.mp4,18,9.0,10.0,0,0.26936544194206397,1.750006870768914,0.10477427268275624,0.16421889989422042,1.5920229747223003,29.143656173336602,200.63839772723685,0.026951100677251816,0.00012886848708149046,2.1713404713522664,-0.07063422063454333,7,6.266666666666667
accident01.mp4,19,9.5,10.5,0,0.27188490660463466,1.9775068572447831,0.10153185117291696,0.17538827446523203,1.1223187466375302,22.72661665298992,202.638656905467,0.033029574900865555,0.0004884769441559911,2.0121214151647564,-0.021543599564698937,7,6.366666666666666
accident01.mp4,20,10.0,11.0,0,0.2369577341106391,3.4544103729820974,0.13846909894468193,0.18527525989752539,2.953970673736326,21.99035137324897,224.74536636416798,0.033029574900865555,0.0004945775726810098,3.338682053181884,0.10721873852523181,7,5.466666666666667
accident01.mp4,21,10.5,11.5,0,0.21909541691915066,3.4544103729820974,0.15108316843064706,0.20105180357084568,2.953970673736326,21.99035137324897,225.72357442136743,0.022038523107767105,3.498178193694912e-05,3.338682053181884,0.09319018751089363,7,4.866666666666666
accident02.mp4,0,0.0,1.0,0,0.34455925464600784,2.9527153145747946,0.20065751031141185,0.17840725537464985,2.6295127167073495,36.71840137352965,511.66024118175466,0.0,0.0,3.295067357244477,0.2894636356030895,5,4.066666666666666
accident02.mp4,1,0.5,1.5,0,0.32674839539769873,2.9527153145747946,0.19199181304932175,0.19796621100114603,2.6295127167073495,33.156842472993276,203.1468924577184,0.0,0.0,3.295067357244477,0.1842268721339745,6,4.566666666666666
accident02.mp4,2,1.0,2.0,0,0.7047291306752024,9.54341857098346,0.5375787096053428,0.24263053663558262,2.4345533670408086,3.5116188225598512,207.82905026427176,0.7169211506843567,0.008439053781330585,9.483303386367027,0.6924565151400848,7,5.433333333333334
accident02.mp4,3,1.5,2.5,0,1.4558554975914848,14.611921508605462,0.908856448370319,0.4055669946397692,7.101423248623697,1.949915018662338,195.04374812728705,0.848436176776886,0.013156162574887276,15.039450542871208,1.853106918522489,7,5.866666666666666
